"id";"value";"url";"market_id"
52;"VCT-HSM1";"https://www.horizontalfoto.cl/montura-lateral-de-casco-para-action-cam";8
77;"LS-284C+LH30";"https://www.andesphoto.cl/tripode-carbono-leofoto-ranger-con-cabezal-4-sec-ls-284c";1
79;"LS-225C+LH25";"https://www.andesphoto.cl/tripode-carbono-leofoto-ranger-con-cabezal-5-sec-ls-225c";1
80;"LX-284CT+XB38";"https://www.andesphoto.cl/tripode-carbono-leofoto-serie-lx-con-cabezal-4-sec-lx-284ct";1
84;"3067";"https://www.apertura.cl/tienda/lentes-para-sony-e-e-mount/3067-sigma-56mm-f14-dc-dn-contemporary-lente-para-sony-e.html";2
86;"2653";"https://www.apertura.cl/tienda/lentes-para-sony-e-e-mount/2653-sigma-50mm-f14-art-dg-hsm-lente-para-sony-e.html";2
82;"TT-CB-5-150-CF-1";"https://www.andesphoto.cl/tripode-carbono-peak-design-travel-tripod";1
135;"1026";"https://www.apertura.cl/tienda/adaptadores/1026-anillo-convierte-lente-en-macro-nikon-67mm.html";2
136;"1027";"https://www.apertura.cl/tienda/adaptadores/1027-anillo-convierte-lente-en-macro-nikon-52mm.html";2
91;"NID-MAVIC2PRO-ND8/PL";"https://www.andesphoto.cl/filtro-nisi-para-drone-dji-mavic-2-pro-nd8-3-pasos-polarizador";1
6916;"2628C003";"https://www.killstore.cl/canon-t100--lente-ef-s-18-55mm-f-35-56-iii-/p";9
53;"VCT-AM1";"https://www.horizontalfoto.cl/montaje-adhesivo-para-action-cam-vct-am1";8
7498;"GSPND7500";"https://www.killstore.cl/protector-lcd-easycover-nikon-d7500/p";9
114;"1944";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1944-adaptador-de-hilo-para-filtro-paso-abajo-de-58-a-55-3345810233505.html";2
143;"2629";"https://www.apertura.cl/tienda/adaptadores/2629-adaptador-yongnuo-para-usar-lentes-canon-ef-en-camaras-canon-eos-m.html";2
134;"1023";"https://www.apertura.cl/tienda/adaptadores/1023-anillo-convierte-lente-en-macro-nikon-52mm.html";2
7500;"SDCFXPS-064G-A46";"https://www.killstore.cl/memoria-sandisk-cf-64gb-professional-udma-7-1067x-/p";9
126;"MSNESTMINI";"https://www.andesphoto.cl/bolso-mindshift-filtros-nest-mini";1
117;"1689";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1689-adaptador-de-hilo-para-filtro-paso-arriba-de-30-a-37.html";2
107;"1691";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1691-adaptador-de-hilo-para-filtro-paso-arriba-de-43-a-52.html";2
111;"1701";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1701-adaptador-de-hilo-para-filtro-paso-abajo-de-67-a-62-3345400230518.html";2
133;"1567180315";"https://todocamaras.cl/films-recargas/556-film-fuji-instax-mini-pack-40-unidades.html";12
146;"3058";"https://www.apertura.cl/tienda/lentes-para-nikon/3058-tamron-tap-in-console-para-montura-nikon.html";2
110;"1698";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1698-adaptador-de-hilo-para-filtro-paso-abajo-de-82-a-77-3345400230525.html";2
132;"1567180277";"https://todocamaras.cl/films-recargas/417-film-fuji-instax-mini-60-unidades.html";12
108;"1692";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1692-adaptador-de-hilo-para-filtro-paso-arriba-de-52-a-55-3345400230501.html";2
125;"915";"https://www.andesphoto.cl/bolso-mindshift-filtros-hive";1
