"id";"value";"revised_at";"product_sku_id";"product_id";"price_type_id"
12575;252190;"2020-08-19 22";4830;4942;2
12576;259990;"2020-08-19 22";4830;4942;1
12577;261890;"2020-08-19 22";4831;4943;2
12578;269990;"2020-08-19 22";4831;4943;1
12579;303990;"2020-08-19 22";4832;4944;2
12580;319990;"2020-08-19 22";4832;4944;1
12581;313490;"2020-08-19 22";4833;1220;2
12582;329990;"2020-08-19 22";4833;1220;1
12583;320090;"2020-08-19 22";4834;4945;2
12584;329990;"2020-08-19 22";4834;4945;1
12585;1199990;"2020-08-19 22";4835;2806;2
12586;1237090;"2020-08-19 22";4835;2806;1
12587;1369990;"2020-08-19 22";4836;4946;2
12588;1412390;"2020-08-19 22";4836;4946;1
12589;1399990;"2020-08-19 22";4837;4947;2
12590;1443290;"2020-08-19 22";4837;4947;1
12591;9490;"2020-08-19 22";4838;4948;2
12592;9990;"2020-08-19 22";4838;4948;1
12593;17090;"2020-08-19 22";4839;4949;2
12594;17990;"2020-08-19 22";4839;4949;1
12595;17090;"2020-08-19 22";4840;4950;2
12596;17990;"2020-08-19 22";4840;4950;1
12597;18990;"2020-08-19 22";4841;4951;2
12598;19990;"2020-08-19 22";4841;4951;1
12599;23690;"2020-08-19 22";4842;4952;2
12600;24990;"2020-08-19 22";4842;4952;1
12601;23690;"2020-08-19 22";4843;4953;2
12602;24990;"2020-08-19 22";4843;4953;1
12603;37990;"2020-08-19 22";4844;4954;2
12604;39990;"2020-08-19 22";4844;4954;1
12605;40690;"2020-08-19 22";4845;4955;2
12606;41990;"2020-08-19 22";4845;4955;1
12607;45490;"2020-08-19 22";4846;4956;2
12608;46890;"2020-08-19 22";4846;4956;1
12609;47490;"2020-08-19 22";4847;4957;2
12610;49990;"2020-08-19 22";4847;4957;1
12611;50990;"2020-08-19 22";4848;4958;2
12612;52590;"2020-08-19 22";4848;4958;1
12613;54990;"2020-08-19 22";4849;4959;2
12614;56690;"2020-08-19 22";4849;4959;1
12615;57190;"2020-08-19 22";4850;4960;2
12616;58990;"2020-08-19 22";4850;4960;1
12617;75990;"2020-08-19 22";4851;4961;2
12618;79990;"2020-08-19 22";4851;4961;1
12619;75990;"2020-08-19 22";4852;4962;2
12620;79990;"2020-08-19 22";4852;4962;1
12621;94990;"2020-08-19 22";4853;4963;2
12622;99990;"2020-08-19 22";4853;4963;1
12623;94990;"2020-08-19 22";4854;4964;2
12624;99990;"2020-08-19 22";4854;4964;1
12625;94990;"2020-08-19 22";4855;4965;2
12626;99990;"2020-08-19 22";4855;4965;1
12627;113990;"2020-08-19 22";4856;4966;2
12628;119990;"2020-08-19 22";4856;4966;1
12629;113990;"2020-08-19 22";4857;4967;2
12630;119990;"2020-08-19 22";4857;4967;1
12631;168090;"2020-08-19 22";4858;4968;2
12632;176990;"2020-08-19 22";4858;4968;1
12633;170990;"2020-08-19 22";4859;4969;2
12634;179990;"2020-08-19 22";4859;4969;1
12635;262190;"2020-08-19 22";4860;4970;2
12636;275990;"2020-08-19 22";4860;4970;1
12637;387990;"2020-08-19 22";4861;4971;2
12638;399990;"2020-08-19 22";4861;4971;1
12639;799990;"2020-08-19 22";4862;4972;2
12640;824790;"2020-08-19 22";4862;4972;1
12641;1260990;"2020-08-19 22";4863;4973;2
12642;1299990;"2020-08-19 22";4863;4973;1
12643;1599990;"2020-08-19 22";4864;4974;2
12644;1649490;"2020-08-19 22";4864;4974;1
12645;1745990;"2020-08-19 22";4865;4975;2
12646;1799990;"2020-08-19 22";4865;4975;1
12647;1939990;"2020-08-19 22";4866;4976;2
12648;1999990;"2020-08-19 22";4866;4976;1
12649;2899990;"2020-08-19 22";4867;4977;2
12650;2989690;"2020-08-19 22";4867;4977;1
12651;349990;"2020-08-19 22";4868;4978;2
12652;360790;"2020-08-19 22";4868;4978;1
12653;399990;"2020-08-19 22";4869;4979;2
12654;412390;"2020-08-19 22";4869;4979;1
12655;436490;"2020-08-19 22";4870;4980;2
12656;449990;"2020-08-19 22";4870;4980;1
12657;439990;"2020-08-19 22";4871;4981;2
12658;453590;"2020-08-19 22";4871;4981;1
12659;539990;"2020-08-19 22";4872;4982;2
12660;556690;"2020-08-19 22";4872;4982;1
12661;549990;"2020-08-19 22";4873;4983;2
12662;566990;"2020-08-19 22";4873;4983;1
12663;727490;"2020-08-19 22";4874;4984;2
12664;749990;"2020-08-19 22";4874;4984;1
12665;1299990;"2020-08-19 22";4875;4985;2
12666;1340190;"2020-08-19 22";4875;4985;1
12667;1599990;"2020-08-19 22";4876;4986;2
12668;1649490;"2020-08-19 22";4876;4986;1
12686;38990;"2020-09-13 19";4770;4883;2
12687;67890;"2020-08-25 19";4771;4884;2
12688;77590;"2020-08-19 22";4877;4987;2
12689;79990;"2020-08-19 22";4877;4987;1
12690;77590;"2020-08-19 22";4878;4988;2
12691;79990;"2020-08-19 22";4878;4988;1
12692;85490;"2020-08-19 22";4879;4989;2
12693;89990;"2020-08-19 22";4879;4989;1
12694;96990;"2020-08-19 22";4880;4990;2
12695;99990;"2020-08-19 22";4880;4990;1
12696;455890;"2020-08-19 22";4881;4991;2
12697;469990;"2020-08-19 22";4881;4991;1
12698;164990;"2020-08-19 22";4882;4992;2
12699;170090;"2020-08-19 22";4882;4992;1
12700;170990;"2020-08-19 22";4883;4993;2
